Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain),Usia_Clean,Age_Group,Region,Price_Segment,Kategori_encoded,Region_encoded,Sub1_encoded,Sub2_encoded,Cluster
20.0,Sukoharjo,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,20.0,Dewasa Muda (18-25),Jawa Tengah,Premium (66-100k),5,3,8,1,1
22.0,Kendari,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,22.0,Dewasa Muda (18-25),Sulawesi,Premium (66-100k),5,8,8,1,1
49.0,Bandarlampung,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,49.0,Dewasa Tua (>45),Lainnya,Premium (66-100k),5,6,8,1,1
48.0,Bengkulu,Ayam Krimax,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,48.0,Dewasa Tua (>45),Lainnya,Premium (66-100k),5,6,8,1,1
40.0,Jakarta,Ayam Krimax & Roll Cake,100,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),Jabodetabek,Premium (66-100k),5,1,8,1,1
22.0,Riau,B.I.S.A,60,Hobi,Keterampilan Digital,Kreativitas Dewasa,Seni & Visual,"Crafting, Journaling, DIY",22.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),4,6,4,2,1
45.0,Bekasi,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,45.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),5,1,8,1,1
47.0,Bekasi,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,47.0,Dewasa Tua (>45),Jabodetabek,Standard (31-65k),5,1,8,1,1
42.0,Bekasi,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),5,1,8,1,1
42.0,Sukoharjo,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,42.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),5,3,8,1,1
36.0,Ciledug Tangerang,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,36.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),5,1,8,1,1
41.0,wonogiri,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,41.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),5,3,8,1,1
24.0,Kuningan,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,24.0,Dewasa Muda (18-25),Jawa Barat,Standard (31-65k),5,2,8,1,1
26.0,Balikpapan,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,26.0,Dewasa (26-35),Kalimantan Timur,Standard (31-65k),5,5,8,1,1
28.0,Semarang,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,28.0,Dewasa (26-35),Jawa Tengah,Standard (31-65k),5,3,8,1,1
49.0,Semarang,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,49.0,Dewasa Tua (>45),Jawa Tengah,Standard (31-65k),5,3,8,1,1
24.0,Solo,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,24.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
25.0,Jambi,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,25.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
32.0,Sukamulya,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,32.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
43.0,Pindok Aren,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,43.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),5,6,8,1,1
33.0,Palembang,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,33.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
20.0,Ambon,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,20.0,Dewasa Muda (18-25),Maluku,Standard (31-65k),5,7,8,1,1
16.0,Kebumen,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,16.0,Remaja (13-17),Lainnya,Standard (31-65k),5,6,8,1,1
37.0,Nogosari Boyolali,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,37.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),5,6,8,1,1
40.0,Batubara sumut,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),5,6,8,1,1
30.0,Karawang,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,30.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
45.0,Jakarta,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,45.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),5,1,8,1,1
25.0,Kalimantan Timur ,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,25.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
20.0,Sangatta,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,20.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
27.0,Kudus,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,27.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
24.0,Batam,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,24.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
29.0,Purwakarta,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,29.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
44.0,Ambon,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,44.0,Dewasa Menengah (36-45),Maluku,Standard (31-65k),5,7,8,1,1
43.0,Palembang,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,43.0,Dewasa Menengah (36-45),Lainnya,Standard (31-65k),5,6,8,1,1
20.0,Blitar,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,20.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
30.0,Batam,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,30.0,Dewasa (26-35),Lainnya,Standard (31-65k),5,6,8,1,1
25.0,Barito Utara,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,25.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
25.0,Kota Kediri,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,25.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
25.0,Kalibagor Banyumas,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,25.0,Dewasa Muda (18-25),Lainnya,Standard (31-65k),5,6,8,1,1
43.0,Ambon,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,43.0,Dewasa Menengah (36-45),Maluku,Standard (31-65k),5,7,8,1,1
40.0,Semarang,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,40.0,Dewasa Menengah (36-45),Jawa Tengah,Standard (31-65k),5,3,8,1,1
45.0,Samarinda,BaCiMay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,45.0,Dewasa Menengah (36-45),Kalimantan Timur,Standard (31-65k),5,5,8,1,1
30.0,Jember,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,30.0,Dewasa (26-35),Jawa Timur,Standard (31-65k),5,4,8,1,1
37.0,Jakarta,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,37.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),5,1,8,1,1
38.0,Depok,Bacimay,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,38.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),5,1,8,1,1
41.0,Jakarta,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,41.0,Dewasa Menengah (36-45),Jabodetabek,Standard (31-65k),5,1,8,1,1
17.0,Kendari Sulawesi Tenggara,BACIMAY,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling,17.0,Remaja (13-17),Sulawesi,Standard (31-65k),5,8,8,1,1
