Usia,Domisili,Nama Program,Harga Kelas,Kategori,Sub Kategori  1 (Tujuan),Sub Kategori 2 (Minat lain),Sub Kategori 3 (Minat lain),Sub Kategori 4 (Minat lain)
28,Kabupaten Bangka Selatan,Mie ayam yummy & black forest cake,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
23,Tangerang,Mie ayam yummy & donatz,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
26,Jambi,Mie ayam yummy & pizza mania ceria,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
31,Malang,Mie ayam yummy & rempeyek crunchy,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
46,Samarinda,Mie ayam yummy & rempeyek crunchy,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
40,Kalimantan Tengah,"Mie ayam, bacimay, donatz, brownies, rempeyek, black forest",65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
27,Palopo,Mie Viral,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
45,Ambon,MiKi #2,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
44,Yogya,Miki #2,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
60,Tangerang,Miki #2,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
27,Banyumas,MiKi Modul #2,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
26,Barito Utara,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
48,Cimahi,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
42,Sentul City,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
48,Bengkulu,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
43,Tangerang,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
38,Sulsel,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
34,Banyuwangi,Minuman kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
42,Bengkulu,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
40,Bekasi,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
42,Bojo Kendal,Minuman Kekinian,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
35,Samarinda,Minuman Kekinian & Digital Lettering,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
0,Balikpapan,Minuman Kekinian & Donat,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
8,Pangkalpinang,Ol pizza mania,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
38,Ambon,Paket B : Roll Cake & Marmer Cake,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
27,Boyolali,Paket Desain Basic + desain Lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
34,Samarinda,Paket desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
27,Pontianak ,Paket Desain basic + lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
44,Sopeng,Paket desain basic lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
24,Bandung,Paket desain basic lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
28,Kebumen,Paket desain basic lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
27,Nusa Tenggara Timur,Paket Desain Program Dasar + Lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
21,Bengkulu,Paket Desain Program Dasar + Lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
30,Jerman,Paket Desain Program Dasar + Lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
27,Banjarbaru,Paket Desain Program Dasar + Lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
21,Bogor,Paket Desain Program Dasar + Lanjutan ,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
25,Riau,Paket hemat Jahit basic + jahit lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
39,Riau,Paket hemat jahit basic + jahit lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
32,Ujung Batu,Paket hemat jahit basic + lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
35,Mojokerto,Paket jahit basic + lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
38,Sangatta,Paket jahit basic lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
45,Riau,Paket jahit basic lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
33,Riau,Paket jahit basic lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
30,Mataram NTB,Paket jahit basic lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
18,Brebes jateng,Paket jahit basic lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
45,Surabaya,"Paket Jahit basic, Jahit lanjutan, Fashion design, smock & sulam pita",120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
24,Serpong,paket Kelas desain basic & lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
0,Bontang Kalimantan Timur,Paket kelas desain basic & lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
21,Makassar,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
28,Sidoarjo Jawa Timur,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
41,Tegal,PAKET KELAS DESAIN BASIC + Desain LANJUTAN,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
47,Cimahi,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
48,Puuduria ,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
27,Payakumbu,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
27,Bau bau,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
36,Mojokerto,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
29,Maluku,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
10,Malang,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
31,Lampung,Paket kelas desain basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
46,Jakarta,Paket kelas desain basic + desain lanjutan ,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
18,"Cimahi Selatan, Cimahi, Jawa Barat",Paket Kelas Desain Basic + desain Lanjutan #15,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
29,Bengalon,Paket kelas desain basic + lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
51,Tangerang,Paket kelas desain basic lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
38,Palembang,"Paket kelas desain basic+ lanjutan, kelas desain sticker+gif",90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
37,Kebumen,Paket kelas desain basic+lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
21,Aceh,Paket kelas desain basic+lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
35,Bogor,Paket Kelas desain basic+lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
17,Jateng,Paket kelas desain basic+lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
24,Malang,Paket kelas desain basic+lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
35,Karawang timur,paket Kelas design basic + desain lanjutan,90,Hobi,Keterampilan Digital,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
47,Kendari,Paket Kelas Smock & Ka Jena,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
42,Semarang,Paket kelas smock & ka jena,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
30,Cilacap Jawa Tengah,Paket kursus Jahit Basic + Jahit Lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
38,Depok,Paket kursus jahit basic + jahit lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
31,Sidoarjo Jatim,Paket Kursus jahit basic + jahit lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
39,Sukoharjo,Paket kursus jahit basic + jahit lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
36,Jawa Timur,Paket Kursus jahit basic + jahit lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
19,Medan,Paket kursus rajut basic + rajut lanjutan,120,Fashion,Busana Muslimah,Entrepreneurship,Seni & Visual,"Crafting, Journaling, DIY"
22,Depok,Paket MiKi #1 + MiKi #2,65,Memasak,Makanan Keluarga,Entrepreneurship,"Makanan Sehat, Praktis",Food Presentation/Styling
